dropoutPerc,kmeans3,kmeans4,kmeans5,kmeans6,lat,lon
14.28571,#00111a,#00111a,#00111a,#00111a,40.851071,-73.865438
11.33879,#00111a,#00111a,#00111a,#00111a,40.695726,-73.735762
9.54495,#00111a,#00111a,#00111a,#00111a,40.584482,-73.825288
11.88118,#00111a,#00111a,#00111a,#00111a,40.855509,-73.926263
7.801418,#00111a,#00111a,#00111a,#00111a,40.728612,-73.887201
0.0,#00111a,#00111a,#00111a,#00111a,40.761511,-73.988638
9.411764,#00111a,#00111a,#00111a,#00111a,40.820915,-73.855857
2.061855,#00111a,#00111a,#00111a,#00111a,40.818628,-73.920291
3.474903,#00111a,#00111a,#00111a,#00111a,40.815976,-73.955665
13.68421,#00111a,#00111a,#00111a,#00111a,40.705647,-73.955541
0.0,#00111a,#00111a,#00111a,#00111a,40.593516,-73.936674
0.0,#00111a,#00111a,#00111a,#00111a,40.740685,-73.989602
10.71428,#00111a,#00111a,#00111a,#00111a,40.711894,-73.939176
9.259259,#00111a,#00111a,#00111a,#00111a,40.81499,-73.856076
13.37209,#00111a,#00111a,#00111a,#00111a,40.62115,-73.981595
3.076923,#00111a,#00111a,#00111a,#00111a,40.831814,-73.878702
4.938271,#00111a,#00111a,#00111a,#00111a,40.875549,-73.861423
5.597416,#00111a,#00111a,#00111a,#00111a,40.695726,-73.735762
5.067567,#00111a,#00111a,#00111a,#00111a,40.66927,-73.97875
4.938271,#00111a,#00111a,#00111a,#00111a,40.754998,-73.926966
11.88455,#00111a,#00111a,#00111a,#00111a,40.680817,-73.752528
14.54545,#00111a,#00111a,#00111a,#00111a,40.709228,-74.012182
0.3956478,#00111a,#00111a,#00111a,#00111a,40.831814,-73.878702
6.451612,#00111a,#00111a,#00111a,#00111a,40.870196,-73.896468
7.826086,#00111a,#00111a,#00111a,#00111a,40.765551,-73.993584
10.40787,#00111a,#00111a,#00111a,#00111a,40.745492,-73.953186
0.0,#00111a,#00111a,#00111a,#00111a,40.817323,-73.947082
14.10256,#00111a,#00111a,#00111a,#00111a,40.700839,-73.798337
10.81081,#00111a,#00111a,#00111a,#00111a,40.684972,-73.883042
0.0,#00111a,#00111a,#00111a,#00111a,40.686433,-73.979709
9.402546,#00111a,#00111a,#00111a,#00111a,40.695726,-73.735762
13.18681,#00111a,#00111a,#00111a,#00111a,40.818847,-73.905063
7.317073,#00111a,#00111a,#00111a,#00111a,40.87757,-73.913451
7.792207,#00111a,#00111a,#00111a,#00111a,40.708343,-73.80413
7.058823,#00111a,#00111a,#00111a,#00111a,40.743367,-74.002764
13.76146,#00111a,#00111a,#00111a,#00111a,40.748624,-73.946443
7.692307,#00111a,#00111a,#00111a,#00111a,40.631698,-73.953803
2.912621,#00111a,#00111a,#00111a,#00111a,40.593516,-73.936674
8.571428,#00111a,#00111a,#00111a,#00111a,40.588188,-73.981718
6.944444,#00111a,#00111a,#00111a,#00111a,40.658815,-73.942977
1.587301,#00111a,#00111a,#00111a,#00111a,40.74336,-73.871498
1.612903,#00111a,#00111a,#00111a,#00111a,40.593516,-73.936674
0.0,#00111a,#00111a,#00111a,#00111a,40.881316,-73.887339
0.0,#00111a,#00111a,#00111a,#00111a,40.770287,-73.95327
9.714285,#00111a,#00111a,#00111a,#00111a,40.695726,-73.735762
9.615384,#00111a,#00111a,#00111a,#00111a,40.823164,-73.911188
7.142857,#00111a,#00111a,#00111a,#00111a,40.588188,-73.981718
5.940594,#00111a,#00111a,#00111a,#00111a,40.580364,-73.93516
10.30927,#00111a,#00111a,#00111a,#00111a,40.743367,-74.002764
12.82051,#00111a,#00111a,#00111a,#00111a,40.827316,-73.90472
12.51646,#00111a,#00111a,#00111a,#00111a,40.583274,-73.833653
9.876543,#00111a,#00111a,#00111a,#00111a,40.827388,-73.900829
11.42857,#00111a,#00111a,#00111a,#00111a,40.681918,-73.945597
8.888888,#00111a,#00111a,#00111a,#00111a,40.865743,-73.859689
7.317073,#00111a,#00111a,#00111a,#00111a,40.714722,-73.982528
6.862745,#00111a,#00111a,#00111a,#00111a,40.695453,-73.968767
0.0,#00111a,#00111a,#00111a,#00111a,40.761511,-73.988638
4.469273,#00111a,#00111a,#00111a,#00111a,40.665521,-73.912086
7.526881,#00111a,#00111a,#00111a,#00111a,40.870196,-73.896468
7.692307,#00111a,#00111a,#00111a,#00111a,40.697099,-73.786738
12.12534,#00111a,#00111a,#00111a,#00111a,40.695726,-73.735762
4.411764,#00111a,#00111a,#00111a,#00111a,40.760319,-73.818037
13.40579,#00111a,#00111a,#00111a,#00111a,40.658815,-73.942977
