,DayofWeek,OccurrenceMonth,OccurrenceDay,OccurrenceYear,OccurrenceHour,Offense,Borough,lat,lon
23399,Wednesday,Jul,8,2015,1700,FELONY ASSAULT,Bronx,40.822663919,-73.821777915
33222,Monday,May,4,2015,1500,BURGLARY,Bronx,40.887957378,-73.857002696
16455,Wednesday,Mar,4,2015,2200,FELONY ASSAULT,Bronx,40.824759944,-73.926559248
6570,Friday,May,8,2015,1800,ROBBERY,Bronx,40.87503538,-73.848413672
24419,Friday,Jul,24,2015,1700,FELONY ASSAULT,Bronx,40.903051914,-73.849550776
24768,Wednesday,Jul,29,2015,2100,FELONY ASSAULT,Bronx,40.846391886,-73.88412771
11789,Wednesday,Aug,26,2015,400,ROBBERY,Bronx,40.872697711,-73.862195293
42386,Thursday,Jan,8,2015,1100,GRAND LARCENY,Bronx,40.820979933,-73.849642388
9939,Tuesday,Jul,21,2015,2000,ROBBERY,Bronx,40.810394515,-73.915199538
52629,Tuesday,Apr,21,2015,1600,GRAND LARCENY,Bronx,40.847382216,-73.834242988
12748,Monday,Sep,14,2015,0,ROBBERY,Bronx,40.859337124,-73.903315775
13972,Tuesday,Jan,6,2015,1100,FELONY ASSAULT,Bronx,40.841694933,-73.911108193
27637,Saturday,Sep,12,2015,800,FELONY ASSAULT,Bronx,40.81589916,-73.917230106
9361,Thursday,Jul,9,2015,1800,ROBBERY,Bronx,40.850076061,-73.902801505
43317,Saturday,Jan,17,2015,800,GRAND LARCENY,Bronx,40.891731342,-73.842266723
74854,Saturday,Jul,11,2015,800,GRAND LARCENY OF MOTOR VEHICLE,Bronx,40.852381909,-73.913515771
8598,Monday,Jun,22,2015,1900,ROBBERY,Bronx,40.878205593,-73.866248399
19649,Tuesday,May,5,2015,1600,FELONY ASSAULT,Bronx,40.865428146,-73.867864886
60511,Monday,Jun,29,2015,1800,GRAND LARCENY,Bronx,40.822912308,-73.870041304
7768,Wednesday,Jun,3,2015,1500,ROBBERY,Bronx,40.818976247,-73.903439444
75907,Wednesday,Aug,26,2015,1000,GRAND LARCENY OF MOTOR VEHICLE,Bronx,40.89606837,-73.898968859
39800,Sunday,Oct,13,2013,900,GRAND LARCENY,Bronx,40.851970629,-73.910476348
23679,Sunday,Jul,12,2015,1700,FELONY ASSAULT,Bronx,40.846494676,-73.882634784
64205,Thursday,Jul,30,2015,1000,GRAND LARCENY,Bronx,40.873680184,-73.879231267
7986,Tuesday,Jun,9,2015,1300,ROBBERY,Bronx,40.812783376,-73.909239373
48194,Tuesday,Mar,10,2015,800,GRAND LARCENY,Bronx,40.861222468,-73.860201788
14954,Thursday,Jan,29,2015,2300,FELONY ASSAULT,Bronx,40.849408751,-73.890180451
29490,Sunday,Jan,18,2015,200,BURGLARY,Bronx,40.886496496,-73.907410018
57152,Sunday,May,31,2015,1000,GRAND LARCENY,Bronx,40.824219035,-73.88863222
12996,Saturday,Sep,19,2015,0,ROBBERY,Bronx,40.833809914,-73.908289194
3272,Wednesday,Feb,11,2015,2000,ROBBERY,Bronx,40.833033106,-73.9048356
24085,Sunday,Jul,19,2015,300,FELONY ASSAULT,Bronx,40.853614686,-73.897272944
13201,Tuesday,Sep,22,2015,1600,ROBBERY,Bronx,40.887313634,-73.847271758
4245,Wednesday,Mar,11,2015,900,ROBBERY,Bronx,40.848203558,-73.89281379
10639,Tuesday,Aug,4,2015,1600,ROBBERY,Bronx,40.842859477,-73.915815939
22619,Friday,Jun,26,2015,0,FELONY ASSAULT,Bronx,40.858394817,-73.892996194
30201,Sunday,Feb,8,2015,500,BURGLARY,Bronx,40.822891415,-73.895372902
7258,Sunday,May,24,2015,400,ROBBERY,Bronx,40.835055997,-73.883898102
76566,Tuesday,Sep,22,2015,2000,GRAND LARCENY OF MOTOR VEHICLE,Bronx,40.858373133,-73.899402084
15983,Monday,Feb,23,2015,400,FELONY ASSAULT,Bronx,40.821931932,-73.899778736
23828,Wednesday,Jul,15,2015,500,FELONY ASSAULT,Bronx,40.866035075,-73.891935417
68209,Tuesday,Sep,1,2015,900,GRAND LARCENY,Bronx,40.846278812,-73.89205787
27332,Sunday,Sep,6,2015,2000,FELONY ASSAULT,Bronx,40.847829308,-73.907554201
40471,Friday,Oct,10,2014,1600,GRAND LARCENY,Bronx,40.866734986,-73.897979391
9481,Sunday,Jul,12,2015,300,ROBBERY,Bronx,40.840876814,-73.872807133
19240,Wednesday,Apr,29,2015,900,FELONY ASSAULT,Bronx,40.865750264,-73.901863888
17321,Sunday,Mar,22,2015,0,FELONY ASSAULT,Bronx,40.821427682,-73.914368932
12165,Wednesday,Sep,2,2015,0,ROBBERY,Bronx,40.81527993,-73.904427462
59472,Saturday,Jun,20,2015,2100,GRAND LARCENY,Bronx,40.882963355,-73.89381735
25403,Saturday,Aug,8,2015,400,FELONY ASSAULT,Bronx,40.848647719,-73.911680839
69553,Saturday,Sep,12,2015,2300,GRAND LARCENY,Bronx,40.818568337,-73.927313946
39371,Friday,Sep,25,2015,900,BURGLARY,Bronx,40.829007732,-73.853512321
3859,Saturday,Feb,28,2015,2100,ROBBERY,Bronx,40.852841995,-73.88417431
6512,Thursday,May,7,2015,1500,ROBBERY,Bronx,40.823793548,-73.926159253
41052,Thursday,Dec,11,2014,400,GRAND LARCENY,Bronx,40.881755556,-73.882355561
4934,Sunday,Mar,29,2015,2100,ROBBERY,Bronx,40.826747938,-73.908512114
38667,Wednesday,Sep,9,2015,800,BURGLARY,Bronx,40.877788706,-73.8738322
71156,Tuesday,Sep,29,2015,1300,GRAND LARCENY,Bronx,40.846165379,-73.831705109
72447,Tuesday,Mar,10,2015,1600,GRAND LARCENY OF MOTOR VEHICLE,Bronx,40.843476722,-73.836327292
5356,Thursday,Apr,9,2015,1800,ROBBERY,Bronx,40.875121011,-73.908995183
72857,Saturday,Apr,4,2015,1700,GRAND LARCENY OF MOTOR VEHICLE,Bronx,40.902519875,-73.897559101
21516,Sunday,Jun,7,2015,1600,FELONY ASSAULT,Bronx,40.885739104,-73.856548167
71324,Thursday,Jan,1,2015,1200,GRAND LARCENY OF MOTOR VEHICLE,Bronx,40.81219597,-73.859864038
4693,Monday,Mar,23,2015,1900,ROBBERY,Bronx,40.857093106,-73.790437773
7212,Saturday,May,23,2015,500,ROBBERY,Bronx,40.847130063,-73.908375649
5513,Monday,Apr,13,2015,1600,ROBBERY,Bronx,40.840435019,-73.922389381
37397,Monday,Aug,10,2015,1200,BURGLARY,Bronx,40.809028744,-73.920601759
13753,Thursday,Jan,1,2015,700,FELONY ASSAULT,Bronx,40.8451231,-73.922564627
66286,Saturday,Aug,15,2015,1100,GRAND LARCENY,Bronx,40.809193644,-73.802101239
6489,Wednesday,May,6,2015,2300,ROBBERY,Bronx,40.813511574,-73.917681039
7544,Friday,May,29,2015,1500,ROBBERY,Bronx,40.878510479,-73.902011398
38661,Tuesday,Sep,8,2015,2300,BURGLARY,Bronx,40.82123558,-73.885880473
73674,Wednesday,May,13,2015,1200,GRAND LARCENY OF MOTOR VEHICLE,Bronx,40.842888013,-73.890906828
804,Friday,Apr,24,2015,1800,RAPE,Bronx,40.822569916,-73.911307169
11606,Saturday,Aug,22,2015,2100,ROBBERY,Bronx,40.821004415,-73.890924637
389,Saturday,Mar,15,2014,0,RAPE,Bronx,40.823101299,-73.869690461
76110,Friday,Sep,4,2015,300,GRAND LARCENY OF MOTOR VEHICLE,Bronx,40.838590574,-73.865637774
63143,Wednesday,Jul,22,2015,100,GRAND LARCENY,Bronx,40.829101415,-73.896981965
76171,Monday,Sep,7,2015,200,GRAND LARCENY OF MOTOR VEHICLE,Bronx,40.850316371,-73.886437835
72024,Friday,Feb,13,2015,1800,GRAND LARCENY OF MOTOR VEHICLE,Bronx,40.87039488,-73.881977933
12407,Monday,Sep,7,2015,300,ROBBERY,Bronx,40.837683801,-73.913256606
19099,Sunday,Apr,26,2015,1700,FELONY ASSAULT,Bronx,40.819692504,-73.867413756
49461,Sunday,Mar,22,2015,1600,GRAND LARCENY,Bronx,40.842496071,-73.903867921
4428,Monday,Mar,16,2015,1500,ROBBERY,Bronx,40.865409944,-73.868750703
